SrcTAZ,AccessRate,MedIncSrcTAZ,SumTotPopSrcTAZ,PopDensSrcTAZ,NumDest,JobNum,AvgJobDensAtDests,JobDensRating,SDJobDens,FoodNum,AvgFoodDensAtDest,FoodDensRating,SDFoodDens
1,2,31015,7915,5143.35,18,18,6173.19,1,17477.48,4,0.21,1,0.42
44,2,14228,4215,5468.79,13,13,1753.97,1,1303.24,3,0.36,1,0.72
45,2,28661,4546,4931.65,7,7,2116.88,1,1518.55,2,0.31,1,0.49
47,2,26925,5648,3289.33,10,10,1188.28,1,1156.09,2,0.24,1,0.48
48,2,29648,6168,5645.95,15,15,1529.51,1,1391.73,4,0.26,1,0.46
50,2,23988,3724,4528.94,25,25,4289.90,1,12634.82,3,0.21,1,0.61
57,3,27128,1704,4681.15,22,22,3727.04,1,4521.97,4,0.55,2,1.53
58,3,28255,3550,3234.52,18,18,4059.45,1,3765.47,5,0.66,2,1.62
60,3,26927,3149,7229.27,18,18,1352.25,1,1246.80,6,0.46,2,0.75
72,2,14400,778,639.76,9,9,846.68,1,695.78,2,0.14,1,0.27
75,3,28717,5937,5810.32,9,9,729.14,1,480.07,3,0.44,2,0.82
77,2,28594,3230,2362.23,3,3,1009.70,1,504.38,0,0.00,1,0.00
84,2,30402,2713,1573.57,10,9,1398.05,1,1161.87,1,0.26,1,0.77
87,3,28364,3412,3524.25,22,21,8218.18,2,19387.56,3,0.20,1,0.57
88,2,24280,4245,4185.00,16,15,1234.57,1,1036.35,1,0.15,1,0.60
89,2,28496,3509,6205.02,15,14,3768.08,1,7755.00,0,0.00,1,0.00
90,2,29328,5615,5938.15,9,8,1235.56,1,1245.76,0,0.00,1,0.00
91,2,28165,2969,3306.48,18,17,2798.17,1,6849.38,1,0.14,1,0.59
92,3,17940,1691,4354.32,17,16,12691.04,2,26620.95,1,0.15,1,0.61
93,3,27168,3142,4727.03,15,15,7698.40,2,22759.54,1,0.17,1,0.64
103,3,24179,2515,6757.09,28,27,9327.50,2,21966.32,3,0.27,1,0.82
104,2,22887,4083,6095.26,30,29,6109.60,1,17065.01,4,0.32,1,0.86
153,3,20354,1585,1815.23,23,23,3761.71,1,5438.33,4,0.51,2,1.50
154,2,26537,5021,6926.14,15,15,3534.81,1,5559.97,2,0.32,1,0.83
155,3,24813,1564,6030.24,26,26,8608.65,2,16830.73,3,0.24,1,0.69
183,2,22560,1014,3515.37,13,13,1536.77,1,1368.86,1,0.13,1,0.46
184,2,30268,1128,1291.34,5,5,801.26,1,517.62,1,0.34,1,0.69
185,2,30268,125,48.74,2,2,1728.99,1,830.16,0,0.00,1,0.00
186,2,30268,555,119.19,1,1,1717.11,1,0.00,0,0.00,1,0.00
187,2,30268,3374,3154.96,11,11,1593.96,1,1456.85,1,0.16,1,0.49
188,2,30268,62,72.87,9,9,1066.78,1,868.99,2,0.26,1,0.55
209,2,23292,8202,3041.87,3,3,2276.81,1,1190.39,0,0.00,1,0.00
213,3,24796,2430,1323.87,8,8,13841.11,2,22756.99,0,0.00,1,0.00
215,2,28305,5466,1548.80,2,2,510.25,1,54.62,0,0.00,1,0.00
216,2,28305,2,0.42,1,1,600.73,1,0.00,0,0.00,1,0.00
217,2,28794,22,3.95,1,1,906.35,1,0.00,0,0.00,1,0.00
563,3,12383,2260,1493.77,4,4,4843.93,1,2288.46,1,0.46,2,0.79
564,2,12383,2922,4340.64,12,12,6879.74,1,8317.89,1,0.18,1,0.60
696,2,10648,3421,1725.16,1,1,2094.29,1,0.00,0,0.00,1,0.00
748,2,19706,1851,4416.70,13,13,922.77,1,812.82,2,0.18,1,0.47
